"gamma","beta","rho","lp"
0.1883526109635,0.227587462753145,0.00448319345970565,-7621.82716272556
0.189873279590674,0.219331673428706,0.00431958861340943,-7623.77718231122
0.188510767509855,0.229036995277498,0.00501708313197711,-7621.26562543122
0.18222853270761,0.219203043838013,0.00462050190843601,-7623.10160855477
0.195090001142186,0.235091085554161,0.00444748036246586,-7621.60371228019
0.196605469731781,0.234730514035875,0.00444185261301846,-7621.6844554244
0.192876059042737,0.23776386627921,0.00463969794307011,-7622.62444294246
0.183197882547804,0.224281039450418,0.00568134796360615,-7623.36076429711
0.190899355102997,0.22521488513071,0.00495996931037819,-7621.639726558
0.191035433477375,0.224279104588276,0.0049682197107497,-7622.01265896179
0.193680145518401,0.231713619792547,0.00420531600490871,-7622.36514982731
0.188610903209452,0.226832702028376,0.00509933185255047,-7621.18400044412
0.195428879320876,0.236217835449634,0.00423389613195931,-7622.35256942412
0.186397387266847,0.229345371111814,0.00480942642734079,-7621.91133911997
0.186081779093282,0.224438452418198,0.00572687269338417,-7623.2904725963
0.178795524079437,0.217817337466499,0.00549666580900849,-7622.94989662728
0.192369843420555,0.228309981160842,0.00451050734707654,-7621.44767030466
0.185707125349831,0.222156983033031,0.00492445100448192,-7621.36176671937
0.190820923351598,0.224859041019416,0.0046168642259831,-7621.64609568707
0.183360386662434,0.223356629418463,0.00522089190428598,-7621.75424098293
0.184924399052281,0.220378122331264,0.0046688895975134,-7622.13142271528
0.177908150979514,0.214074126719205,0.00556709831925513,-7623.42901294875
0.18640460272597,0.217345382734937,0.00462615448484813,-7623.04374139769
0.192823736111719,0.223157942222587,0.00417308835385857,-7623.67689635494
0.198151210545931,0.238193231459111,0.0045945001765543,-7622.06808807881
0.185960659214981,0.226158363391064,0.00529411799138849,-7621.74423042286
0.196051184168064,0.233136185136405,0.00403196577238779,-7623.22884250541
0.189589874798438,0.226656854218847,0.00471161889625049,-7621.09642797552
0.194481217236431,0.231425181227583,0.00462939620055716,-7621.31646609371
0.183504265272404,0.219312519919247,0.00520853782024353,-7621.81866052462
0.17853663731873,0.217095744896224,0.00583814105938492,-7623.83068787674
0.188775029004073,0.222547834410161,0.00531734808239065,-7622.49617792442
0.194777342360215,0.218077862751219,0.00423189022732403,-7628.44995891781
0.209451199505578,0.2530644287868,0.00442620610594595,-7628.0231351258
0.18327422618602,0.214775791939207,0.00499354324790887,-7623.10342358579
0.199302542335159,0.242193406553409,0.00423805788820609,-7623.13783952919
0.18591733500588,0.216427373001878,0.00462937372590915,-7623.29513604186
0.194925350436389,0.235652539502308,0.00426395335227448,-7622.2169756822
0.186438981457841,0.216820745573676,0.0048759803311303,-7623.14892810586
0.189420444583568,0.221722360691171,0.00511476325926522,-7622.55392786953
0.195699170699474,0.237264602100876,0.0052782892103903,-7624.30680697723
0.182597632318398,0.222382635763721,0.00499362189204693,-7621.89096811105
0.176616144159216,0.211276765587037,0.00620300281768885,-7626.00166664846
0.189480956117494,0.225241069031396,0.00485229812563732,-7621.17420795498
0.185909038629677,0.228993206767709,0.00449121559560911,-7622.89625083309
0.18841677219822,0.224870321384566,0.00475195183068504,-7621.1925815283
0.200535705279393,0.228518291781506,0.00385702309285366,-7626.14902719717
